p,Delta_p,HS_off
2,-1.1918769246178322,11.77294494255284
3,-0.8979888475894378,12.192497052723155
5,-0.8235416726494943,11.522877264681474
7,-1.0166581070170877,10.732769734766576
11,-0.8151887166538782,9.056562234529297
13,-0.9349125607389802,8.555741534081452
17,-0.6315182290930462,7.465502439651163
19,-0.8057839655469086,7.0689615234652425
23,-0.8945626585202118,6.402112151222924
29,-0.6870705808644183,5.609117268921988
31,-0.5201445026279444,5.386352321516136
37,-0.5951685008828609,4.870527668220315
41,-0.6470123999563667,4.541160955102502
43,-0.6773739949502959,4.4109036240365285
47,-0.4302250230989047,4.1834092159782585
53,-0.5907426180935517,3.8511857945827632
59,-0.4005670012243757,3.5840139323614766
61,-0.4390550342980354,3.5153383927825614
67,-0.5309576376991483,3.3275186863764117
71,-0.36022458786782374,3.1831808554893355
73,-0.3830181243712537,3.131747989028451
79,-0.5014265313280601,2.9883161089407
83,-0.4738130754858434,2.9095535881531944
89,-0.29231143514045843,2.8342424628097693
97,-0.46687071589583207,2.6995429742296158
101,-0.456631096321228,2.6479214457493048
103,-0.4226246368710571,2.620662094854404
107,-0.33786540903316187,2.5753898230749215
109,-0.2911114355053255,2.564723853271419
113,-0.3224452921464991,2.5303393731831822
127,-0.38674117531767727,2.40763914221912
131,-0.3124833047141601,2.3721298864163027
137,-0.2954349694786714,2.322629154082566
139,-0.3233012751830454,2.303947154829699
149,-0.36680259815242294,2.2414143273635436
151,-0.36251197287773146,2.2359535214674513
157,-0.3361218624300579,2.195614666403267
163,-0.2665156410802194,2.16250607189689
167,-0.2370653536618661,2.14090143726898
173,-0.2902087270606725,2.0990422499917187
179,-0.343002740536679,2.0660489160527016
181,-0.34972088501906534,2.053785346965617
191,-0.32821041933576844,2.001219625168569
193,-0.31358338266426256,1.996312559625834
197,-0.2734552541286096,1.9784411178197419
199,-0.24859448836379522,1.9670960629211136
211,-0.23298182636888642,1.9231087397283888
223,-0.31402085424849824,1.8765858589599522
227,-0.3188232085429832,1.8546937292556849
229,-0.31798157554098255,1.8434548233237384
233,-0.3090081440204563,1.8353631434049344
239,-0.27980185015598813,1.8102996377610943
241,-0.2656551027946919,1.8008044640048422
251,-0.20767767841436305,1.7693633241267677
257,-0.21736311038414674,1.7490730874047258
263,-0.24895796897579076,1.7300559420728328
269,-0.2665998488463275,1.7071140388226997
271,-0.2686081825470209,1.6982071705116668
277,-0.2687012179841238,1.684688295832803
281,-0.2673023807042198,1.6768585256992172
283,-0.26433095516363997,1.6649605798171907
293,-0.24652512601252083,1.6384239551784732
307,-0.18994477079197192,1.6013625275819774
311,-0.18520765124826077,1.5909993805535918
313,-0.18345864319095317,1.588126448493165
317,-0.1765117612921771,1.5820059829518658
331,-0.23851241786232558,1.5422588111840494
337,-0.2512686424018368,1.5263169744184784
347,-0.25521833302274044,1.5049579263425166
349,-0.25150473650778016,1.4970822952074316
353,-0.24659697521437515,1.4903804713380429
359,-0.23106353136469998,1.4790168736357046
367,-0.20217118632147896,1.4618287942187196
373,-0.17633402183950503,1.453815801532461
379,-0.1449928874359956,1.4400598777475724
383,-0.1223649953805083,1.4301620287787287
389,-0.13945411776418337,1.4211427662147704
397,-0.17416304054089166,1.4065247565453072
401,-0.1886346906096065,1.398199115187089
409,-0.21078564941129957,1.3848605183258593
419,-0.22630932340578488,1.36731087142949
421,-0.22690775167761335,1.3616639861360391
431,-0.22612547568399044,1.345903133569302
433,-0.22448150472712125,1.3450410851906778
439,-0.2169488395043451,1.332569313321115
443,-0.20970051839421078,1.3285820730183442
449,-0.1975512705599708,1.321343730730227
457,-0.17344613741825077,1.3053513304793656
461,-0.1597966771628691,1.2945527750996333
463,-0.1540283003060586,1.2933643185904045
467,-0.15802330161791905,1.2896052054975968
479,-0.16235790504012212,1.2714083232688314
487,-0.1656157378360255,1.2589264690889514
491,-0.17354759241407858,1.2565846699388228
499,-0.18533624001399968,1.2443152992647892
503,-0.1887165533602781,1.2366927420880813
509,-0.1929667020154875,1.2299175245461345
521,-0.19233683062016582,1.214791842287048
523,-0.19145453419037364,1.2115548631430637
541,-0.18140658876079951,1.1881998676340602
547,-0.1754734532290335,1.1829955062760584
557,-0.15930340255262065,1.1724250267617398
563,-0.14599054338968542,1.159533960080207
569,-0.14584108440235555,1.1572756551057513
571,-0.14591465432874554,1.1561315599289381
577,-0.1431125509928688,1.1485299204318273
587,-0.13837538663732857,1.13936144308146
593,-0.13222653709073506,1.1299126612423154
599,-0.1348370273841849,1.1249252641253542
601,-0.13858697753159746,1.123355235099496
607,-0.14894206366199958,1.1141274031391557
613,-0.15834555777251386,1.108609045677181
617,-0.1622458816490271,1.1030002344455316
619,-0.16477828400240827,1.1028274646637475
631,-0.17372151087254556,1.0872432780382695
641,-0.17765848072082913,1.0816096391941625
643,-0.17600572471310794,1.075729768772885
647,-0.17615346016702504,1.0757532782233215
653,-0.17494310708681843,1.070011698838679
659,-0.1702863048594496,1.0599720626589375
