p,Delta_p,HS_off
2,-1.186100959889071,9.251937683968297
3,-0.8960447978070256,9.560872410227855
5,-0.8230354378250253,9.169268583039987
7,-1.015999646997575,8.693662578849514
11,-0.8186273169216357,7.333147401474416
13,-0.9354467731248568,7.060541612669369
17,-0.6309734341731446,6.197586749195651
19,-0.8046629488330658,5.8964243969734
23,-0.8936653230489258,5.44263792346145
29,-0.6853079272582657,4.835245762789085
31,-0.5228350408269213,4.696840018968298
37,-0.5932108281729112,4.282750913655725
41,-0.6463195205773616,4.0411453953862155
43,-0.6772313867326465,3.963543232259729
47,-0.43415392711454814,3.807411418801744
53,-0.59370569077907,3.5560933285456464
59,-0.40070763396859865,3.3603521123620994
61,-0.4389775132424858,3.306977908132175
67,-0.5298471222876722,3.1704578629405167
71,-0.361509633128179,3.0874769992039903
73,-0.383302401529174,3.040389390259637
79,-0.5016963320868462,2.920197207744804
83,-0.4742281345783216,2.868609138976757
89,-0.292735981024751,2.793083717474595
97,-0.46947589298088954,2.688069665998032
101,-0.4572389311652566,2.6331767372220987
103,-0.42056825023436095,2.5963816536759725
107,-0.3370556556010138,2.559009958935137
109,-0.2923286521094681,2.544652224761578
113,-0.3224639797948195,2.5132305026069535
127,-0.386327825560845,2.394561319210656
131,-0.3125470313134895,2.3485310332710543
137,-0.2957526176029687,2.3056163627776183
139,-0.3236613382605227,2.2978101126411135
149,-0.3679635106106463,2.231006470228267
151,-0.3630019533132565,2.220980724799105
157,-0.3382496635719903,2.184971603041531
163,-0.2671579956549616,2.149097025123862
167,-0.23540361189407796,2.121463487154128
173,-0.2894832595712548,2.081752836134764
179,-0.34001078839215815,2.0528883934841087
181,-0.35004879116886495,2.042470010743775
191,-0.32925829968166753,1.995680822561305
193,-0.31427805117755586,1.9867662361593268
197,-0.27267924810919186,1.9673965201234396
199,-0.24992139638595345,1.9609597100435274
211,-0.23348044674974666,1.8989919913661948
223,-0.3129503937834589,1.8621903999654101
227,-0.319492918975014,1.8412778634691311
229,-0.31788331222989175,1.8352787990519144
233,-0.3084682507759926,1.8241169038226108
239,-0.27901239552507273,1.7975334289913578
241,-0.26528261848341295,1.7917166335947459
251,-0.20729721023344702,1.7581362108708853
257,-0.2175816698893231,1.7290260745342212
263,-0.2491208376224941,1.7164563949159541
269,-0.2661980839167559,1.6949236296475239
271,-0.26937373925210895,1.691554758169871
277,-0.2680601802540171,1.6664324010916498
281,-0.2668881480531776,1.6627296611448683
283,-0.2659740582460334,1.6586550537652547
293,-0.24678183119663694,1.6310747151523588
307,-0.19083147995054223,1.5942106220533683
311,-0.18383177390071478,1.5760379911787903
313,-0.18235398569435796,1.5774631714540372
317,-0.1766457696449472,1.5710983636838245
331,-0.23906141726887764,1.5327921535665434
337,-0.24963472949272703,1.5154275676877726
347,-0.25600866207374573,1.5002290635500632
349,-0.2507007297034338,1.4859192813404012
353,-0.24593973480484974,1.4776967556808933
359,-0.23272285737574733,1.4734139591777142
367,-0.20219852183806394,1.4495776447092912
373,-0.1763934152574101,1.4448433240656022
379,-0.1440202466731081,1.4278504827883869
383,-0.12255584772831024,1.4235196799230998
389,-0.1396104396756755,1.4150179342779283
397,-0.17429898532088334,1.397359231265696
401,-0.18840171786563198,1.3902883864558127
409,-0.21071307075084983,1.372557835134852
419,-0.2257249575695548,1.362146960670589
421,-0.22782477939211132,1.3559737362112951
431,-0.22600882701252478,1.338670651083745
433,-0.22448991063329854,1.3361006296691689
439,-0.21710666384004323,1.3222588402706612
443,-0.20964998172688884,1.3130686979983375
449,-0.19598196088340425,1.3088187877109392
457,-0.1729716356533627,1.292831390152395
461,-0.159693649397314,1.2871984626999724
463,-0.15409428315302792,1.2856549093952887
467,-0.15804207591453012,1.282696747388014
479,-0.16177125216946953,1.2621298711364735
487,-0.16573960556429346,1.252779901677327
491,-0.1737015052800985,1.2525684865452393
499,-0.18526964600937001,1.233275754777409
503,-0.18956547460030676,1.2317304315312685
509,-0.19359987427573105,1.2266113409366932
521,-0.19258429946087996,1.2085371536240448
523,-0.19171633116782355,1.205708056668761
541,-0.18240729305562292,1.183917673075861
547,-0.17605546880021533,1.1782286010474965
557,-0.1585873620117194,1.1624283721895698
563,-0.1481663121798475,1.1578166179564988
569,-0.14625617085556397,1.1544465811710078
571,-0.14329065498511695,1.141743010776082
577,-0.14333014733660362,1.138656220167022
587,-0.1388962571817966,1.1301170744426123
593,-0.1301665621932836,1.1161835421803885
599,-0.1343282906357875,1.1141655238404065
601,-0.13852443934664121,1.1103228860216763
607,-0.14981235034270507,1.1068911646125978
613,-0.15871851642056678,1.104660479394764
617,-0.16171336074295845,1.0940996153687546
619,-0.1642993901706073,1.0935468263771304
631,-0.17537565451620574,1.0826022308473295
641,-0.17590326705500753,1.0714609265780752
643,-0.17626282005352567,1.069092103575158
647,-0.17642121463163746,1.0643250159046125
653,-0.17525543564812374,1.0609481608822284
659,-0.17231818793606013,1.058093091028859
661,-0.17074503039872868,1.054412975137102
673,-0.15789353210117157,1.044093712467229
677,-0.15344975520910545,1.03945397629755
683,-0.14577788212029102,1.0365332193570889
691,-0.13125410575886354,1.0247935364184466
701,-0.11460796827199096,1.017595806512715
709,-0.09999018687673582,1.0131005994990565
719,-0.0841078996940857,1.000866837834123
727,-0.09315250001940499,0.9966778472580438
733,-0.10367436921764278,0.9948114876633308
739,-0.11359992152911946,0.9863303790413293
743,-0.11927767782341907,0.9807161733716728
751,-0.1295306506229647,0.9778084694035207
757,-0.13634108267030234,0.9752649131673709
761,-0.14059171861193326,0.9712859489512643
769,-0.14696007436013309,0.9602775421821474
773,-0.14949142282518638,0.9595602707457337
787,-0.15570412038658415,0.9513908832921902
797,-0.15642484476178026,0.9389610552800468
809,-0.15449106602030666,0.9341274230274341
811,-0.15391968352436003,0.9358483649627838
821,-0.1509462933797483,0.9313031539949758
823,-0.14791079104356147,0.923404694280141
827,-0.14529671663908061,0.9182715220132929
829,-0.14388482882318054,0.9185310422543241
839,-0.13591979008519162,0.915519780802642
853,-0.12129755328964315,0.9023150513778145
857,-0.11674366906142722,0.8986454218953792
