p,Delta_p,HS_off
389,-0.2610719909475594,2.026638896305197
397,-0.2277169599483979,2.002429487320299
401,-0.20822870445794422,1.993874235717651
409,-0.15637835179319776,1.9743736894405952
419,-0.20720635601583542,1.9559237652580375
421,-0.21887307937279124,1.9529552821148974
431,-0.25822404617116756,1.9291267101159546
433,-0.2629565714846209,1.9272516827703294
439,-0.2702959758817586,1.9157891696241467
443,-0.26976573780153223,1.9101763274161017
449,-0.25954547861533606,1.8921441147530063
457,-0.2326717756977434,1.877307047320643
461,-0.21441140807500395,1.8714381570587195
463,-0.20434853227803515,1.8695202749379027
467,-0.18321253459866527,1.8644441829517584
479,-0.1740138276957409,1.834531620356578
487,-0.19505572262105608,1.8248372433616251
491,-0.203111013735377,1.812583607427692
499,-0.21709599089916037,1.8014848521090887
503,-0.22592687866597624,1.7958745018040165
509,-0.23424961257990304,1.7886529461333889
521,-0.23138417763195662,1.7673316558774994
523,-0.22851227050030176,1.7630236003832858
541,-0.1744161735749371,1.734184453576727
547,-0.1532957604568067,1.7259343273684895
557,-0.1597128986225008,1.7144965960882332
563,-0.18069880531375174,1.6996118786005945
569,-0.2005124274352698,1.6940896659937033
571,-0.20603208837340112,1.6903150296828522
577,-0.21917474200825343,1.6828580664118258
587,-0.22836382676018233,1.6715628222559493
593,-0.22567229666504682,1.6579666652245515
599,-0.22157620238964182,1.6495929331282562
601,-0.2191825611476239,1.6473667829749654
607,-0.20899985239249813,1.6437593520633549
613,-0.19422382320740564,1.6381399492621198
617,-0.18071461606177514,1.624579016383265
619,-0.17652617789039024,1.6233595962916212
631,-0.14439470790077394,1.611557410792622
641,-0.12313492903009529,1.6040996866383739
643,-0.13000033500479657,1.5934768669471742
647,-0.145313757502876,1.5899034827638336
653,-0.16582777857852737,1.5843020168984505
659,-0.1831822508333349,1.5784052189328988
661,-0.18823401102927584,1.5764717559950365
673,-0.20904004368674847,1.5588847360968894
677,-0.2132216142542868,1.555912450316663
683,-0.21664477514812994,1.5497448898425426
691,-0.21610504285417545,1.5423506564342835
701,-0.20825561358085687,1.5347079584980075
709,-0.19386490241584076,1.520595529409819
719,-0.17094946046822046,1.509802807946067
727,-0.14871421301492535,1.5050518905709038
733,-0.13076420064137556,1.499554156954136
739,-0.12557671138920412,1.4869686523737444
743,-0.1302286979826034,1.485456906228963
751,-0.1441397127828966,1.4767216269183707
757,-0.15246396901477569,1.4721806577302785
761,-0.1569870561006626,1.4705824203007967
769,-0.16519810230160706,1.462965217483664
773,-0.16795583666283925,1.4545257791277502
787,-0.1840949536970277,1.4436795266256552
797,-0.18873453038198928,1.438281477390352
809,-0.18602006211810457,1.4234569867858688
811,-0.1849099095614511,1.4226379728831597
821,-0.1761728757014962,1.413755785456211
823,-0.17381586356740553,1.412458015676291
827,-0.1685251932329885,1.4092617972535195
829,-0.16559955939767115,1.4088112884382946
839,-0.14824027586272004,1.4022053367256953
853,-0.12786339290319323,1.3857462650944203
857,-0.12799679220390558,1.383064323683732
859,-0.1278357103901652,1.3820338333001538
863,-0.12705282467428858,1.3792481623948014
877,-0.14442229136221416,1.3705795932307665
881,-0.1493806707240246,1.3613123680052306
883,-0.1528048383744787,1.3606910873726272
887,-0.15912783352298646,1.358851979439462
907,-0.17963987913360063,1.3462319045474316
911,-0.18138095419681002,1.34339592043603
919,-0.1790291684630882,1.3310615787984255
929,-0.1778233536430639,1.32577331761125
937,-0.1738032826828773,1.3202734507200937
941,-0.1708071847806004,1.317641086602179
947,-0.16511359926858168,1.3154417044404993
953,-0.15799221422550108,1.312028644426555
967,-0.13394831230470358,1.2991061954097394
971,-0.1279788912822184,1.2959453832817207
977,-0.1199641842857659,1.2923695505413206
983,-0.11109399321506577,1.2885222186815328
991,-0.09807156472439857,1.2866970482644657
997,-0.09474134555571398,1.2819913191536174
1009,-0.11610879412481903,1.2710945175892603
1013,-0.12329867510326459,1.268437888869145
1019,-0.13325251130789492,1.264631128056428
1021,-0.1363419395312901,1.263879460319327
1031,-0.15001166390134443,1.257911926271579
1033,-0.15238325141740322,1.2578076500833004
1039,-0.15876562961170437,1.255328090556994
1049,-0.16553459849193491,1.244400780307357
1051,-0.16672928822215155,1.2434275851732848
1061,-0.17083792065139564,1.2377150160273793
1063,-0.17129124441324878,1.236494376222832
1069,-0.17193279593329405,1.2339066396353253
1087,-0.16785615288669736,1.2252074347368136
1091,-0.16593689683077434,1.2223421502279843
1093,-0.1649223864843929,1.2228430326102535
1097,-0.16062474884760689,1.2150940545659796
1103,-0.15538690587686094,1.2124861700473992
1109,-0.14930350307396956,1.2084179165133346
1117,-0.13999985695228306,1.2048786058158751
1123,-0.13223358129941987,1.2016687372655424
1129,-0.12390082102929204,1.2006046757212594
1151,-0.10269573750613212,1.1845689748865122
1153,-0.10312560394512658,1.1833244191042425
1163,-0.10513320657767306,1.1791852468311415
1171,-0.11232592386731946,1.174299814057023
1181,-0.1198655457963085,1.1719944127892892
1187,-0.12360630270465797,1.1684461534064743
1193,-0.12679205567160864,1.1672731039978854
1201,-0.13039598420986187,1.1577487926595937
1213,-0.13922608299030545,1.1529378169877185
1217,-0.14155465878354584,1.150870569821019
1223,-0.1444782520147147,1.147697996285039
1229,-0.1467342212758712,1.1462318767813955
1231,-0.1473425558217802,1.1459569517973984
1237,-0.14876054475489,1.1430465483354526
1249,-0.14872281854875935,1.1337776528100585
1259,-0.14727982623378358,1.1292372543411044
1277,-0.14021541086840944,1.121764971816754
1279,-0.13909433806773294,1.1214200761526498
1283,-0.1366603230904034,1.120196405354975
1289,-0.13254083695034155,1.1175809072540706
1291,-0.1310452253008031,1.1169328979053867
1297,-0.12619293281092522,1.1152072555492616
1301,-0.12263310900781932,1.1149770461540665
1303,-0.12071205050938949,1.1138589983051341
1307,-0.11471783655048635,1.1059442409172944
1319,-0.10517582031383678,1.1018124619126475
1321,-0.10549691451187065,1.1013792324142255
1327,-0.10614793981679804,1.098606530452684
1361,-0.10597169089562083,1.0816708688124
1367,-0.11202699176999895,1.0791481313983717
1373,-0.11759285578034762,1.0770229166569847
1381,-0.1242223160577163,1.0750710489937678
1399,-0.13564403176674208,1.0679309592680497
1409,-0.1397488480657885,1.0651776439449527
1423,-0.1399862885156885,1.0542592909211679
1427,-0.14061225311819858,1.053474161182192
1429,-0.14083850978601303,1.0530122149171972
1433,-0.14111808954158372,1.0516074753780051
1439,-0.14110707585408105,1.050047563244386
1447,-0.14029553846514942,1.046650040755323
