p,Delta_p,HS_off
1913,-0.1144962558399887,0.9059129227599182
1931,-0.116184029794231,0.8970563449230854
1933,-0.11628454424523502,0.8971170741749742
1949,-0.11622553260336659,0.8925606682702638
1951,-0.1161125118438563,0.8924978875990266
1973,-0.11341992346676404,0.8905133337381831
1979,-0.11121531918118312,0.8844354256793862
1987,-0.1093191208864806,0.8835895454802901
1993,-0.10767736872262022,0.8822417135585802
1997,-0.10648066068931587,0.8803182264555495
1999,-0.10585210418988866,0.8797987408860397
2003,-0.10453531166018429,0.8799791451566993
2011,-0.10166645239043014,0.8794607710639206
2017,-0.09931097191706012,0.8783193102660093
2027,-0.09496365353223024,0.8761121705998519
2029,-0.09280306744783642,0.8716755237632255
2039,-0.08814873922327456,0.871181692996023
2053,-0.08647788024594626,0.8674878061273638
2063,-0.08709652046711377,0.8651225353122998
2069,-0.08722247424151472,0.8653587557089786
2081,-0.08587798740715936,0.8590268675487436
2083,-0.085845377670908,0.859400737114343
2087,-0.08572911361384777,0.8582984435936495
2089,-0.08564539779622782,0.8587655174010346
2099,-0.08496928644457805,0.8551666401953977
2111,-0.08357987114494894,0.8551637903866848
2113,-0.08328454340578281,0.8533115168397358
2129,-0.08668853914589411,0.8506772350688852
2131,-0.08751875619919675,0.8498624626394845
2137,-0.08949084728625986,0.8462857818678788
2141,-0.09126087922110908,0.8460939992422619
2143,-0.09211837738636823,0.8453908168806715
2153,-0.09612399446994722,0.8428003117095352
2161,-0.09897896464237177,0.8421771395265162
2179,-0.10415116667513045,0.8390958970561349
2203,-0.10776482880393544,0.8301708365274313
2207,-0.10833865985135913,0.8306943915876709
2213,-0.10904949257258542,0.829921525677343
2221,-0.10971139655931691,0.8276230029067349
2237,-0.1099357944692014,0.8255045922614834
2239,-0.10979593343820862,0.8249787508713124
2243,-0.10839728011335745,0.8223390998419432
2251,-0.1080969088025919,0.8201142466592559
2267,-0.1066296517927366,0.8173279260759071
2269,-0.10636508643847767,0.8171330533072008
2273,-0.10578147088078929,0.8167580765371768
2281,-0.10439248772267831,0.8167084838492605
2287,-0.10314567062027821,0.8151493887710037
2293,-0.10168070747103879,0.8136877188460152
2297,-0.09926657859019007,0.8103114645908196
2309,-0.09617627120613165,0.8070208557562321
2311,-0.09560955950579683,0.8067745078234412
2333,-0.08843320650187084,0.8041305829239748
2339,-0.08617923828205898,0.8051404841104549
2341,-0.0853987341524001,0.8037905980222737
2347,-0.08296072842809091,0.8017086339933085
2351,-0.08122712057024063,0.8019491929659072
2357,-0.07744768607497336,0.7982006216637906
2371,-0.07129133214293189,0.7953168444702122
2377,-0.06850641501458035,0.7946951521843131
2381,-0.0666036591809405,0.7929516311917331
2383,-0.06563881303913464,0.7929626100610053
2389,-0.06297294374249286,0.792508088093474
2393,-0.06256689973999563,0.7930203954501762
2399,-0.0618586378657014,0.791766587349175
2411,-0.05983766466894083,0.7899927534258494
2417,-0.05833349991494094,0.7852897051407349
2423,-0.05743085342999219,0.7844856881466311
2437,-0.06285053856427858,0.7824063575825083
2441,-0.06479415064965893,0.7813216458129899
2447,-0.06762769136102387,0.7816882285992176
2459,-0.07298472036589665,0.7799113562035508
2467,-0.07630318533142635,0.7794487327413693
2473,-0.07824819612094537,0.775670343859904
2477,-0.07979597135449427,0.7734765991561731
2503,-0.08870251788233774,0.770135169261894
2521,-0.0936773196372822,0.7686982817127685
2531,-0.09604940360129333,0.768312166031322
2539,-0.09694073301823017,0.7619647272164042
2543,-0.09766687209152046,0.7625106485120332
2549,-0.09866366446119815,0.7620292418309904
2551,-0.09897141291619121,0.7618821303978222
2557,-0.09982172384355967,0.7594408846145814
2579,-0.10203432320701544,0.7577010074445937
2591,-0.10272596908595874,0.7577390681846833
2593,-0.102840184549881,0.7564104435834319
2609,-0.10181047756222505,0.7509742470605724
2617,-0.10147358453267671,0.7493676619782418
2621,-0.10123981473820136,0.7477689615196248
2633,-0.10029047182645007,0.7478294042596398
2647,-0.09876667431965669,0.7462780555035406
2657,-0.09758413629366504,0.745296236106514
2659,-0.09621264573855942,0.7408816924370443
2663,-0.09549379431093519,0.7396582392880913
2671,-0.09394103325252716,0.7399145212295317
2677,-0.09267968354069783,0.7390161728000157
2683,-0.09133952679737435,0.7366390079943514
2687,-0.09040440568415689,0.736534278945654
2689,-0.0899248713694321,0.7368585223737228
2693,-0.08894286545057092,0.7372797724967893
2699,-0.0874161165711016,0.7365455087158443
2707,-0.0852938382349138,0.7346412002357015
2711,-0.08420490337567263,0.7357305560497414
2713,-0.08365672683839148,0.7354735170905561
2719,-0.0820266195752489,0.7348305647361231
2729,-0.07799382951875024,0.7287548252877832
2731,-0.0773257720145838,0.7294463707055534
2741,-0.07388888414945022,0.7279316487019222
2749,-0.07103264056700599,0.7255218042749444
2753,-0.06957266451593994,0.7258973852339211
2767,-0.06432467945682929,0.7249398230210695
2777,-0.06437347733525425,0.72507725516832
2789,-0.0655301296937932,0.7185491666253184
2791,-0.06573023348401588,0.7182385474840088
2797,-0.06629285139948807,0.7187243814795391
2801,-0.06663654700865643,0.7184911159467475
2803,-0.06679899389448392,0.7176790013567023
2819,-0.06787424991276575,0.7154489019638276
2833,-0.06849365158265246,0.7141907409218771
2837,-0.06861751719900296,0.7134780393601219
2843,-0.0687616848525298,0.7134560964444611
2851,-0.06888681670438923,0.7126101901804638
2857,-0.06838178822772585,0.7076656126355262
2861,-0.06832762331611614,0.7076867819918208
2879,-0.07092341622918617,0.7052557550359113
2887,-0.07229092973701715,0.7052339254055041
2897,-0.07456256638409078,0.7035606216862328
2903,-0.0760090706360767,0.7032347414928485
2909,-0.07740823643349753,0.702489232516039
2917,-0.07922011804608584,0.7024623549072749
2927,-0.08115577199167147,0.6973493851226885
2939,-0.08320192947775484,0.6962142089460456
2953,-0.08524547736311097,0.6944188436178202
2957,-0.08576259361707102,0.6951023357118505
2963,-0.08648397002976595,0.6938143365915246
2969,-0.08714183258337584,0.6922119679221322
2971,-0.08734743519681953,0.6929391604554364
2999,-0.08896302422315822,0.6876445494761988
3001,-0.08904401889379374,0.6877034638111746
3011,-0.08933405803227323,0.6850360440868802
3019,-0.08942970336917469,0.6849323260757583
3023,-0.08943270906800824,0.6845766967251344
3037,-0.08921296456986963,0.6824632185604532
3041,-0.08908589524086691,0.6821742928491582
3049,-0.08874915274374437,0.682249060707122
3061,-0.0880506408384085,0.6811022392903756
3067,-0.08763439829929007,0.6805252022735964
3079,-0.08560077650086934,0.6766516569832602
3083,-0.08517865079530706,0.674732486029334
3089,-0.08449485595632973,0.6750840971826333
3109,-0.08178687722241768,0.6721746439527073
3119,-0.080191478108356,0.6729464180146284
3121,-0.0798533551198176,0.6727306325967862
3137,-0.07691337032550696,0.6706677831927423
3163,-0.07037132588069611,0.6654436970996302
3167,-0.06946423520628557,0.6654743896583399
3169,-0.06900293268953571,0.6650443439010257
3181,-0.06927715767734507,0.6624942813462733
3187,-0.06964312210860499,0.6622857268532093
3191,-0.06985459726244485,0.6636795776704814
3203,-0.07032236642412815,0.6625129709188594
3209,-0.07044907464001662,0.6607899252427807
3217,-0.07041204734553816,0.6612131396912833
3221,-0.06973263941480162,0.657803557828216
3229,-0.06983745373220514,0.6554015441900694
3251,-0.06964170176774864,0.6537630197997503
3253,-0.06958804947645707,0.6530577317095828
3257,-0.06946236716708976,0.6524134887841069
3259,-0.06939024132873234,0.6522347887055773
3271,-0.06882289325179841,0.6528724880071278
3299,-0.06559646123568114,0.6471775073157819
3301,-0.06543962253942313,0.6465690244003045
3307,-0.0649378618378697,0.6450727260324107
3313,-0.06438921903076852,0.6463664330098988
3319,-0.06545908257069914,0.6456752565618092
3323,-0.06638132829745197,0.6443997445666027
3329,-0.06772104252696959,0.643279097830492
3331,-0.06815576352722016,0.6428827476229211
3343,-0.070635323715751,0.6439481036988051
3347,-0.07141089923909723,0.643145230080189
3359,-0.07357021313703291,0.6416192575691614
3361,-0.07390298796933284,0.6414571003306178
3371,-0.07538992494789798,0.640952239473613
3373,-0.07479796926874013,0.638146369205948
3389,-0.07722722079558231,0.6362078320708775
3391,-0.07750371309070668,0.6368020352205787
